channel_name,subscribers,category,views_counts,video_count,started_year,revenue
Sijosh N Riya,1630000,Entertainment,1636025842,281,2019,40900646.0
Next9TvNews à¤¸à¥à¤°à¤¿à¤¯à¤² à¤à¤ªà¤¡à¥à¤,2800000,Entertainment,1634245705,113236,2017,40856143.0
Royal Music Factory,3570000,Music,1629666319,1539,2018,40741658.0
Jeet Patil,7140000,People & Blogs,1623836960,392,2021,40595924.0
One Media Entertainments,2570000,Entertainment,1620067143,907,2017,40501679.0
Thugesh Shorts,3150000,Entertainment,1617974268,381,2021,40449357.0
Wave Music Dhamaka,4060000,Music,1615227792,4731,2018,40380695.0
Filmi Indian,3970000,Entertainment,1613891907,1346,2018,40347298.0
mastkalandr,3490000,People & Blogs,1613873823,1952,2008,40346846.0
Masala Kitchen,6770000,Howto & Style,1612905928,1633,2016,40322648.0
Tips  Jhankar Gaane,4790000,Entertainment,1612310571,715,2013,40307764.0
RadaanMedia,1650000,Entertainment,1610245144,11846,2012,40256129.0
Harish hatricks,2950000,People & Blogs,1607889103,528,2015,40197228.0
online news india,5170000,News & Politics,1607616740,6911,2018,40190418.0
Zee Sarthak,2630000,Entertainment,1605584288,29015,2011,40139607.0
Odisha Reporter,1630000,News & Politics,1605243395,81297,2015,40131085.0
SS Right Information World & Suraj Sharma,6900000,,1604567996,652,2020,40114200.0
Mumbiker Nikhil,4060000,People & Blogs,1601879347,2344,2013,40046984.0
Rangoli colors and designs by Keerthi,3740000,Howto & Style,1599961744,1083,2018,39999044.0
Shemaroo Punjabi,4260000,Music,1598023546,3172,2009,39950589.0
Zee Studios,3250000,Film & Animation,1596453453,895,2015,39911336.0
Wow Kidz Bangla,3090000,Entertainment,1596025853,672,2019,39900646.0
Vivekjadoo Deepika,1940000,Entertainment,1594568992,991,2020,39864225.0
Zee Keralam,2320000,Entertainment,1594499374,27745,2018,39862484.0
Facts Digger Official,3710000,,1591257089,227,2021,39781427.0
CWE India,4510000,Entertainment,1586826429,6523,2015,39670661.0
GupShupp,2390000,Entertainment,1583693684,433,2022,39592342.0
Neelkamal Singh Official,4730000,,1582802885,133,2017,39570072.0
Veg Village Food,5780000,Howto & Style,1582531758,488,2014,39563294.0
