channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
India Forums
    ","3,590,000",Entertainment,"1,410,481,186",Entertainment,2010,875
"
ALTT
    ","4,330,000",Entertainment,"1,401,957,787",Entertainment,2016,876
"
Trending Theeviravadhi
    ","4,800,000",Entertainment,"1,401,407,383",Entertainment,2020,877
"
Desi Version
    ","3,950,000",Entertainment,"1,400,234,979",Entertainment,2014,878
"
Gotcha! Hindi
    ","3,330,000",People & Blogs,"1,399,052,584",People & Blogs,2021,879
"
AmdavadiMan Ni Duniya
    ","2,180,000",People & Blogs,"1,396,929,996",People & Blogs,2019,880
"
Shruti Shorts
    ","2,610,000",Comedy,"1,394,136,954",Comedy,2018,881
"
Bamb Beats
    ","4,150,000",People & Blogs,"1,393,458,718",People & Blogs,2017,882
"
Badge 99
    ","10,100,000",Gaming,"1,393,054,225",Gaming,2016,883
"
SIIMA
    ","3,270,000",People & Blogs,"1,391,848,411",People & Blogs,2015,884
"
Riya Films
    ","4,100,000",,"1,390,265,919",,2015,885
"
Bollywood pe Charcha
    ","2,050,000",Entertainment,"1,389,216,396",Entertainment,2017,886
"
Nakkalites
    ","5,190,000",Comedy,"1,388,039,286",Comedy,2017,887
"
Sri Balaji Comedy
    ","2,660,000",Entertainment,"1,387,799,820",Entertainment,2013,888
"
Official Deep Kaur Shorts
    ","2,380,000",People & Blogs,"1,385,120,335",People & Blogs,2021,889
"
manoramaMAX
    ","1,860,000",Entertainment,"1,385,085,257",Entertainment,2019,890
"
GoldminesAction
    ","12,600,000",Film & Animation,"1,384,384,953",Film & Animation,2015,891
